,Date,Low,High,Close,Open
3229,2008-03-31,8.33,9.03,8.91,8.48
3228,2016-07-14,35.0,36.19,35.88,35.11
3227,2013-08-06,18.83,19.2,18.92,19.17
3226,2008-03-24,8.61,9.28,9.1,8.91
3225,2010-12-27,9.8,9.93,9.87,9.93
3224,2016-04-11,38.67,39.55,38.73,38.79
3223,2013-07-11,17.27,17.5,17.37,17.4
3222,2011-05-05,9.43,10.1,9.82,9.48
3221,2015-08-13,42.27,43.275,42.67,42.76
3220,2015-05-26,41.36,43.09,41.555,43.05
3219,2013-06-14,16.81,17.25,16.93,16.96
3218,2005-11-01,24.69,25.08,25.02,24.7
3217,2007-05-14,32.57,34.15,33.53,32.81
3216,2007-07-17,34.85,35.78,35.3,35.11
3215,2008-09-22,6.8,7.85,6.86,7.61
3214,2014-03-25,36.86,38.197,37.9,36.88
3213,2005-10-20,20.85,21.48,21.02,21.35
3212,2018-04-19,46.41,47.77,46.88,47.53
3211,2006-07-14,45.42,48.5,47.2,48.5
3210,2016-10-17,38.37,39.73,38.58,38.66
3209,2014-08-27,38.68,39.4,38.99,39.36
3208,2007-03-09,48.68,49.9,48.93,49.75
3207,2009-07-29,2.84,3.07,3.02,2.88
3206,2011-04-06,8.15,8.52,8.4,8.52
3205,2008-06-19,2.93,3.55,3.54,3.0
3204,2006-10-03,45.92,48.03,47.66,46.6
3203,2006-02-27,33.1,34.07,33.35,33.9
3202,2015-12-15,41.92,42.82,42.595,41.97
3201,2018-05-14,42.2,43.09,42.46,42.75
3200,2013-11-19,24.08,24.8,24.23,24.55
3199,2014-09-26,35.02,36.12,35.93,35.25
3198,2015-06-22,42.24,43.25,43.03,42.92
3197,2009-12-18,4.32,4.63,4.53,4.61
3196,2014-07-16,43.3,44.0,43.48,44.0
3195,2011-10-26,5.59,5.78,5.66,5.74
3194,2013-04-17,15.9,16.55,16.52,16.17
3193,2016-07-13,34.115,35.29,34.45,35.0
3192,2016-12-06,45.92,46.55,46.43,46.16
3191,2018-02-05,49.75,52.39,49.76,51.99
3190,2012-03-27,7.53,7.83,7.56,7.73
3189,2009-01-29,6.33,7.75,6.47,7.15
3188,2005-10-17,21.85,22.22,22.08,22.15
3187,2016-12-16,47.56,49.07,47.63,48.61
3186,2016-06-23,29.77,30.49,30.33,30.25
3185,2010-08-12,8.82,9.47,9.23,8.93
3184,2008-10-03,6.36,7.46,6.49,7.26
3183,2008-08-11,7.7,9.79,8.39,7.88
3182,2010-05-24,7.03,7.48,7.04,7.19
3181,2011-02-07,9.28,9.82,9.72,9.29
3180,2018-01-16,57.53,59.08,57.98,58.79
3179,2007-08-08,30.51,32.71,31.39,32.07
3178,2014-04-03,36.96,38.44,37.34,37.72
3177,2017-07-10,52.23,53.16,52.66,52.98
3176,2015-09-08,40.69,41.58,40.8,41.28
3175,2006-02-24,33.18,33.98,33.52,33.97
3174,2009-05-11,3.6,3.9,3.75,3.75
3173,2007-10-23,26.45,28.88,28.67,26.65
3172,2008-05-30,3.96,4.25,3.96,4.25
3171,2015-12-08,44.07,45.51,44.55,45.1
3170,2016-11-18,45.62,46.49,46.26,46.15
3169,2016-04-01,39.27,40.16,39.52,40.13
3168,2014-04-30,34.89,35.88,35.07,35.68
3167,2014-01-03,25.51,26.75,26.54,25.75
3166,2017-07-24,51.24,52.03,51.28,51.79
3165,2008-09-11,6.23,7.53,7.52,6.44
3164,2008-01-15,11.75,12.64,12.51,11.85
3163,2013-02-07,14.63,15.4,15.11,14.91
3162,2018-06-04,43.96,45.01,44.86,44.04
3161,2010-09-14,8.51,9.01,8.78,8.65
3160,2015-10-22,44.36,46.01,45.99,44.89
3159,2009-04-24,4.68,5.06,4.84,4.79
3158,2018-07-05,37.52,38.18,37.99,37.85
3157,2008-10-21,7.41,8.22,7.83,7.51
3156,2012-03-05,6.96,7.39,6.99,7.39
3155,2006-05-04,47.75,49.2,48.05,48.4
3154,2016-01-11,39.9,41.2,41.08,40.56
3153,2012-07-17,13.84,14.25,14.07,14.2
3152,2017-11-22,48.27,48.97,48.66,48.58
3151,2010-12-09,10.77,11.08,10.91,11.05
3150,2010-10-21,10.55,11.04,10.75,10.94
3149,2011-08-17,5.52,6.0,5.69,5.99
3148,2016-01-27,39.48,40.87,39.69,40.15
3147,2010-02-02,5.62,6.0,5.96,5.65
3146,2012-01-09,5.55,5.8,5.72,5.56
3145,2012-12-07,12.45,13.05,12.77,12.66
3144,2011-11-30,4.32,4.72,4.72,4.64
3143,2017-02-28,46.03,46.7199,46.36,46.32
3142,2013-07-10,17.01,17.48,17.17,17.32
3141,2011-02-23,8.16,9.09,8.49,9.09
3140,2013-10-22,21.34,21.99,21.95,21.53
3139,2015-03-16,49.45,50.45,50.22,49.77
3138,2010-06-25,9.08,9.64,9.16,9.59
3137,2017-03-16,41.45,42.35,42.13,42.18
3136,2014-07-31,38.05,39.4,38.85,38.9
3135,2006-06-21,47.0,49.2,48.94,47.45
3134,2015-08-07,41.4,42.48,41.49,42.21
3133,2006-04-18,36.84,37.6,37.05,37.1
3132,2009-06-08,2.67,2.82,2.73,2.82
3131,2008-02-25,13.11,13.89,13.7,13.55
3130,2009-04-30,3.79,4.1,3.79,4.03
3129,2018-02-15,50.94,51.88,51.67,51.45
3128,2011-09-02,5.12,5.34,5.22,5.14
3127,2006-05-08,46.48,49.8,47.3,49.1
3126,2014-03-11,37.95,39.26,38.08,38.65
3125,2006-12-28,54.77,57.04,55.76,57.04
3124,2013-09-25,18.8,19.39,19.18,19.13
3123,2007-05-18,32.76,33.52,33.48,33.19
3122,2017-02-01,43.91,45.0,44.05,44.75
3121,2016-01-13,39.66,42.74,40.1,42.17
3120,2007-03-29,44.62,46.99,45.53,46.65
3119,2012-11-06,12.5,12.69,12.67,12.61
3118,2010-08-20,8.79,9.18,9.1,9.11
3117,2007-03-02,50.62,53.09,50.65,51.9
3116,2008-04-02,9.09,9.74,9.17,9.74
3115,2006-06-02,45.25,46.81,45.85,46.26
3114,2009-01-13,8.11,8.66,8.27,8.35
3113,2007-03-14,44.01,47.81,45.78,47.75
3112,2011-08-15,5.55,6.14,5.88,5.57
3111,2017-06-08,50.41,51.87,51.43,50.86
3110,2016-08-01,35.1,35.75,35.6,35.54
3109,2013-08-08,18.9,19.13,18.98,18.99
3108,2015-12-31,41.83,42.57,42.35,42.54
3107,2007-11-16,22.0,23.66,22.41,23.66
3106,2017-05-23,45.94,46.69,46.66,46.27
3105,2012-02-29,7.27,7.62,7.41,7.31
3104,2013-08-28,15.28,15.53,15.34,15.38
3103,2018-01-29,52.585,53.16,52.68,52.79
3102,2014-08-11,37.35,38.37,37.97,37.79
3101,2010-05-03,7.13,7.45,7.39,7.21
3100,2017-03-07,44.56,45.23,44.84,45.02
3099,2013-11-20,23.91,24.42,24.06,24.29
3098,2014-06-02,40.0,41.25,41.22,40.0
3097,2010-10-11,9.0,9.16,9.0,9.06
3096,2009-02-18,3.6,4.55,3.78,4.55
3095,2012-07-09,13.27,13.88,13.49,13.82
3094,2008-12-24,7.26,7.73,7.65,7.26
3093,2006-11-03,47.0,48.21,47.42,47.98
3092,2014-09-19,36.63,38.25,36.63,38.06
3091,2009-11-05,2.86,2.99,2.95,2.95
3090,2015-01-23,54.8,55.98,55.69,55.4
3089,2011-01-28,10.01,11.09,10.16,11.01
3088,2008-08-12,8.75,9.58,9.39,8.8
3087,2009-07-08,2.11,2.27,2.14,2.24
3086,2015-10-12,42.55,43.88,43.84,42.59
3085,2016-02-11,36.17,37.2199,36.49,36.47
3084,2016-10-10,37.47,38.95,38.89,37.95
3083,2014-07-29,39.39,40.85,39.53,40.65
3082,2006-11-17,58.6,60.61,59.45,60.61
3081,2008-05-07,7.25,8.31,7.34,7.99
3080,2014-12-22,50.72,51.88,50.84,51.1
3079,2015-12-16,42.12,43.49,43.2,42.99
3078,2008-12-31,7.48,7.87,7.73,7.48
3077,2013-01-24,14.44,15.39,14.67,15.04
3076,2009-07-28,2.7,2.96,2.9,2.73
3075,2006-10-10,47.69,48.35,48.28,47.95
3074,2016-05-31,31.33,31.97,31.91,31.75
3073,2008-11-26,5.4,5.97,5.9,5.48
3072,2011-02-22,9.0,9.56,9.17,9.28
3071,2016-12-19,47.74,48.6,48.58,47.89
3070,2018-05-23,42.27,42.87,42.8,42.64
3069,2013-03-15,15.88,16.54,15.98,16.45
3068,2017-06-16,48.62,49.45,48.79,48.9
3067,2015-11-24,40.45,41.64,41.23,41.02
3066,2014-10-31,40.8,41.75,41.35,41.1
3065,2018-04-16,45.81,46.94,46.4,46.13
3064,2012-07-20,11.87,12.69,12.01,12.42
3063,2015-02-27,47.85,49.4,47.9,49.0
3062,2012-08-30,10.1,10.47,10.4,10.41
3061,2012-04-16,7.85,8.17,8.13,7.86
3060,2007-06-25,29.12,29.95,29.24,29.78
3059,2017-07-05,50.18,51.545,51.26,50.44
3058,2013-09-11,17.31,18.04,17.72,18.03
3057,2012-09-27,10.26,10.51,10.36,10.43
3056,2012-08-02,10.61,11.13,10.68,10.73
3055,2013-04-04,15.12,15.71,15.69,15.12
3054,2015-04-14,46.88,47.78,47.42,47.49
