,Date,Low,High,Close,Open
5334,2001-12-24,9.51,10.22,9.83,10.15
5333,2002-08-06,13.14,13.9,13.74,13.27
5332,2014-03-07,369.531,374.99,372.06,374.58
5331,1997-07-15,25.63,28.75,28.63,26.25
5330,2016-04-04,590.55,599.5,593.19,599.0
5329,2005-08-29,41.91,43.0,42.79,41.91
5328,2002-10-21,18.73,19.53,19.26,18.89
5327,2000-09-12,42.25,44.19,42.69,43.38
5326,2009-01-28,48.97,51.49,50.36,49.72
5325,1997-11-14,45.38,50.5,50.0,47.25
5324,1998-11-05,126.3,130.1,128.5,127.7
5323,2012-02-03,181.89,187.9,187.68,182.83
5322,2014-09-19,325.57,332.7559,331.32,327.6
5321,2009-09-21,88.48,90.76,90.56,89.69
5320,2003-02-21,21.04,21.83,21.78,21.35
5319,2012-03-06,178.04,183.5,181.09,178.68
5318,1999-01-22,98.75,125.9,123.0,99.13
5317,2004-12-07,38.05,39.75,38.2,39.42
5316,2014-11-19,324.02,328.4,326.54,327.25
5315,2014-02-11,356.25,363.61,361.79,361.842
5314,2002-05-28,18.77,19.61,19.06,19.57
5313,2006-03-30,36.18,36.9,36.67,36.32
5312,2004-03-10,41.46,43.2,41.55,42.72
5311,2000-07-17,40.25,43.94,41.13,42.88
5310,2017-04-24,903.82,909.99,907.41,908.68
5309,2014-10-24,284.0,293.81,287.06,284.4
5308,2012-10-16,242.08,245.77,243.94,244.87
5307,1998-03-11,78.25,82.5,79.63,82.0
5306,2000-07-10,35.0,36.38,35.06,36.38
5305,2007-01-23,36.3,37.07,36.43,36.9
5304,2006-04-06,37.13,38.84,38.51,37.24
5303,2011-12-08,190.08,195.89,190.48,193.57
5302,2013-12-17,386.5,391.36,387.65,390.65
5301,2006-02-28,37.05,38.09,37.44,37.78
5300,2005-03-18,33.65,34.28,34.16,34.15
5299,2004-06-02,49.77,51.21,50.35,50.45
5298,1997-09-03,27.75,29.0,28.0,28.13
5297,2003-09-25,49.28,50.95,50.05,49.66
5296,2015-05-27,425.01,431.85,431.42,427.45
5295,1999-04-07,171.3,187.3,175.8,186.6
5294,2000-05-31,49.63,52.25,49.94,50.75
5293,2005-10-07,43.38,44.61,43.72,44.27
5292,1998-05-11,86.5,93.0,86.88,92.94
5291,2000-05-04,53.13,56.5,55.06,54.25
5290,2004-02-04,44.3,45.91,45.39,44.8
5289,2012-09-11,254.26,257.6,255.67,257.6
5288,2004-03-12,41.3,42.61,42.44,41.35
5287,2018-07-12,1762.18,1798.0,1796.62,1764.51
5286,2011-09-12,208.65,216.66,216.56,212.66
5285,2016-12-01,738.03,753.37,743.65,752.41
5284,1999-07-09,124.1,127.8,125.5,126.1
5283,2004-11-26,38.89,39.34,39.09,38.95
5282,2012-08-16,236.2,242.825,241.55,237.72
