,Date,Low,High,Close,Open
1556,2016-05-05,117.25,118.98,117.81,118.04
1555,2014-05-05,59.18,61.35,61.22,59.67
1554,2016-11-15,115.83,118.49,117.2,116.73
1553,2012-12-14,26.76,28.33,26.812,28.18
1552,2014-11-19,73.11,74.54,73.33,74.01
1551,2015-08-11,92.9006,94.76,93.62,93.73
1550,2013-08-23,38.93,40.63,40.55,39.0
1549,2015-09-28,88.18,92.29,89.21,92.08
1548,2014-07-10,63.05,65.34,64.8725,63.31
1547,2018-05-03,172.12,176.12,174.02,175.13
1546,2016-12-20,118.8,119.77,119.09,119.5
1545,2016-08-31,125.1,126.22,126.12,125.6
1544,2012-06-18,29.41,32.08,31.41,29.955
1543,2016-09-12,125.75,128.76,128.69,125.96
1542,2015-10-09,92.239,93.74,93.24,92.9
1541,2015-03-02,78.52,79.855,79.75,79.0
1540,2014-09-22,75.95,77.53,76.8,77.0
1539,2012-06-11,26.835,28.07,27.005,27.18
1538,2015-11-27,104.86,105.96,105.45,105.78
1537,2017-09-26,162.78,165.5,164.21,164.5
1536,2013-06-24,23.38,24.11,23.935,23.95
1535,2014-07-09,63.15,65.12,64.97,63.41
1534,2017-01-25,129.77,131.74,131.48,130.0
1533,2018-01-10,185.63,187.89,187.84,186.94
1532,2017-03-10,138.22,139.49,138.79,138.91
1531,2013-01-03,27.59,28.47,27.77,27.88
1530,2017-04-19,141.27,143.04,142.27,141.35
1529,2013-12-11,49.01,50.77,49.38,50.55
1528,2017-07-21,163.75,165.05,164.43,164.16
1527,2013-02-20,28.33,29.05,28.462,28.92
1526,2014-04-08,57.17,58.71,58.1901,57.68
1525,2013-03-01,26.81,28.1164,27.78,27.05
1524,2013-07-16,26.01,26.75,26.32,26.39
1523,2014-10-22,78.01,79.85,78.37,78.815
1522,2018-06-14,192.91,197.28,196.81,193.1
1521,2017-08-21,165.82,168.0,167.78,167.16
1520,2018-07-12,203.19,207.08,206.92,203.43
1519,2014-12-24,80.75,81.43,80.77,81.03
1518,2018-03-07,178.07,183.82,183.71,178.74
1517,2013-11-13,46.06,48.74,48.71,46.23
1516,2013-05-06,27.48,28.46,27.57,28.33
1515,2014-12-11,76.48,78.52,77.73,76.52
1514,2015-10-06,92.34,94.17,92.8,94.08
1513,2017-05-15,149.77,151.48,150.19,150.17
1512,2012-07-30,23.03,24.04,23.15,23.995
1511,2016-03-09,105.49,107.51,107.51,106.7
1510,2013-01-15,29.88,31.71,30.1,30.64
1509,2013-06-25,24.04,24.43,24.25,24.14
1508,2017-07-18,159.42,163.73,162.86,159.66
1507,2013-02-13,27.31,28.32,27.9075,27.36
1506,2016-07-07,115.36,116.97,115.85,116.63
1505,2016-04-29,115.84,117.84,117.58,116.82
1504,2016-05-24,116.12,117.73,117.7,116.24
1503,2013-03-14,26.83,27.43,27.04,27.1
1502,2018-04-23,165.09,168.45,165.84,167.27
1501,2014-10-03,77.26,78.06,77.44,77.76
1500,2012-09-24,20.3625,21.98,20.79,21.78
1499,2018-03-06,179.11,182.38,179.78,181.78
1498,2012-06-06,25.52,27.17,26.81,26.07
1497,2015-10-02,88.37,92.2,92.07,88.9
1496,2017-02-14,132.55,134.23,133.85,134.1
1495,2014-12-12,77.02,78.88,77.83,77.16
1494,2015-09-25,92.06,95.85,92.77,95.79
1493,2012-09-06,18.72,19.2617,18.96,18.74
1492,2014-11-06,74.31,75.6,75.26,74.89
1491,2016-11-23,119.94,121.31,120.84,121.23
1490,2018-04-20,165.81,168.43,166.28,167.79
1489,2012-08-17,19.0,20.08,19.05,20.005
1488,2013-04-22,25.7,26.36,25.97,25.81
1487,2012-05-24,31.77,33.21,33.03,32.95
1486,2017-02-27,135.02,137.18,136.41,135.26
1485,2015-11-19,105.95,107.73,106.26,107.36
1484,2015-01-28,76.0,77.638,76.24,76.9
1483,2015-05-14,78.67,81.845,81.37,78.94
1482,2015-05-26,79.08,80.6,79.335,80.43
1481,2015-09-17,92.9,95.51,94.34,93.37
1480,2013-07-15,25.65,26.43,26.28,25.93
1479,2017-12-14,177.68,180.3601,178.39,178.29
1478,2015-08-13,93.35,94.73,93.43,94.05
1477,2015-03-18,79.17,81.24,80.91,79.25
1476,2016-06-08,117.27,118.6,118.39,117.76
1475,2018-03-27,150.75,162.85,152.22,156.31
1474,2016-02-16,100.24,103.93,101.61,103.8
1473,2016-05-10,114.8,120.5,120.5,119.62
1472,2017-05-09,150.21,152.59,150.48,151.49
1471,2012-07-16,28.21,30.5,28.245,30.5
1470,2018-05-08,177.11,179.04,178.92,178.25
1469,2017-07-06,148.0,150.04,148.82,149.03
1468,2016-02-29,106.75,108.9101,106.92,107.6
1467,2018-04-16,163.39,165.78,164.83,165.7249
1466,2016-04-12,108.99,111.1645,110.61,109.34
1465,2015-03-05,81.05,81.99,81.21,81.23
1464,2017-12-20,177.36,179.81,177.89,179.81
1463,2015-09-30,88.01,90.02,89.9,88.44
1462,2018-02-27,181.46,184.7,181.46,184.45
1461,2014-07-23,69.61,71.33,71.29,69.74
1460,2012-11-27,25.46,26.5,26.15,26.04
1459,2012-06-29,30.76,31.99,31.095,31.92
1458,2013-02-25,27.15,27.64,27.27,27.16
1457,2017-10-03,169.2,170.73,169.96,169.3
1456,2017-08-31,170.06,172.15,171.97,170.4
1455,2016-10-19,128.6,130.47,130.11,128.74
1454,2013-01-29,30.71,32.07,30.79,32.0
1453,2015-12-23,103.86,106.11,104.63,105.89
