,Date,Low,High,Close,Open
7198,1993-09-30,82.25,83.25,82.5,82.75
7197,1993-03-18,85.0,86.75,85.25,85.75
7196,1999-11-22,88.44,90.37,89.81,89.62
7195,1997-03-11,98.37,100.56,98.37,99.62
7194,2016-12-08,60.84,61.58,61.01,61.3
7193,1990-06-11,73.0,75.5,74.87,73.0
7192,2008-01-03,34.86,35.65,35.37,35.22
7191,1992-08-17,69.5,71.0,69.5,70.75
7190,2004-07-22,28.83,29.3,29.0,29.059
7189,2011-04-29,25.36,26.64,25.92,26.55
7188,1991-02-13,101.75,105.62,105.5,102.5
7187,2004-04-28,26.47,27.05,26.56,27.05
7186,2009-09-08,24.41,24.84,24.82,24.62
7185,1993-02-18,79.0,82.75,81.62,81.25
7184,1992-11-19,92.25,95.0,94.0,92.25
7183,2002-09-13,46.85,48.26,47.91,46.9
7182,2012-07-13,28.72,29.48,29.39,28.76
7181,2009-08-06,23.27,23.98,23.46,23.93
7180,2001-03-23,54.38,57.0,56.56,54.94
7179,1990-11-14,68.25,70.0,69.5,68.5
7178,2008-12-29,18.64,19.21,18.96,19.15
7177,2011-04-08,25.96,26.28,26.07,26.17
7176,2003-06-18,25.71,26.43,26.07,25.98
7175,1999-05-18,77.94,80.25,78.69,79.81
7174,2010-11-15,26.17,26.5,26.2,26.33
7173,2004-05-03,26.19,26.52,26.35,26.21
7172,2002-07-08,52.58,54.93,52.92,54.41
7171,2007-03-06,27.65,27.94,27.83,27.8
7170,1994-11-09,63.13,64.62,63.75,64.25
7169,2015-11-25,53.69,54.23,53.69,54.09
7168,2005-12-21,26.7098,26.91,26.73,26.87
7167,2003-06-16,24.67,25.42,25.39,24.8
7166,2010-12-07,26.85,27.13,26.87,27.08
7165,2011-12-23,25.73,26.04,26.03,25.9101
7164,2015-09-04,42.195,43.04,42.61,42.81
7163,2015-08-12,45.705,46.9,46.74,46.19
7162,1995-11-13,96.06,97.25,96.31,96.62
7161,1993-09-14,74.25,76.25,75.25,76.0
7160,2013-12-12,37.18,37.64,37.22,37.64
7159,2004-09-03,27.1,27.62,27.11,27.45
7158,2018-05-11,97.04,97.87,97.7,97.8
7157,2007-09-13,28.96,29.26,29.16,29.06
7156,2016-05-09,50.0,50.585,50.07,50.49
7155,2001-07-25,65.61,67.52,67.48,66.26
7154,2014-07-01,41.69,42.15,41.87,41.86
7153,2017-01-05,62.03,62.66,62.3,62.19
7152,2000-01-12,104.44,108.87,105.81,108.5
7151,2005-08-12,26.9,27.14,27.05,27.08
7150,2008-03-11,28.38,29.34,29.28,28.4
7149,2017-10-10,76.14,76.63,76.29,76.33
7148,1994-08-10,53.25,54.38,54.13,53.5
7147,2018-03-09,95.0,96.54,96.54,95.29
7146,2003-05-21,23.89,24.71,24.03,24.63
7145,1992-06-16,72.5,76.5,72.75,75.5
7144,1991-07-16,67.5,70.0,67.5,70.0
7143,1993-02-09,83.5,87.25,83.87,86.75
7142,2016-09-22,57.63,58.0,57.82,57.92
7141,1991-12-12,100.5,103.25,102.0,101.0
7140,2004-09-30,27.52,27.79,27.65,27.589
7139,2009-12-30,30.8,31.29,30.96,31.15
7138,1995-10-12,86.62,88.12,87.62,87.0
7137,2011-03-17,24.75,25.22,24.78,25.06
7136,2012-12-26,26.7,27.2,26.86,27.03
7135,1999-07-26,87.62,89.81,87.62,88.87
7134,1994-09-21,55.0,57.38,57.25,56.31
7133,2004-10-11,27.93,28.22,28.06,28.2
7132,2005-05-25,25.5,25.77,25.71,25.68
7131,1992-12-24,86.0,87.25,87.25,87.25
7130,2017-07-21,73.17,74.29,73.79,73.45
7129,2003-11-24,25.28,25.81,25.73,25.33
7128,2018-03-02,90.86,93.15,93.05,91.58
7127,2012-08-30,30.22,30.61,30.32,30.53
7126,2001-09-04,56.07,59.08,56.1,57.19
7125,1997-01-28,94.75,98.75,95.62,98.37
7124,1992-01-29,121.75,125.75,124.5,122.5
7123,1990-03-08,101.75,107.25,106.25,103.0
7122,2018-01-16,88.0104,90.79,88.35,90.1
7121,2010-07-07,23.61,24.32,24.3,23.82
7120,2003-01-23,51.46,52.54,52.28,51.95
7119,2014-09-04,44.72,45.27,45.26,44.74
7118,1994-11-21,63.38,64.75,63.5,64.5
7117,2016-02-22,52.28,53.0,52.65,52.28
7116,2005-10-27,24.85,25.27,24.85,25.22
7115,2018-07-18,104.715,106.05,105.12,105.94
7114,2008-04-30,28.51,29.21,28.52,28.75
7113,2003-03-13,23.44,24.74,24.67,23.72
7112,2013-01-29,27.6,28.13,28.01,27.82
7111,1995-05-05,79.87,81.62,80.0,81.37
7110,2003-06-12,24.74,25.14,24.99,24.97
7109,1995-03-23,71.25,73.25,72.75,71.37
7108,2015-05-06,46.02,47.77,46.28,47.57
7107,1993-09-28,82.25,84.25,84.0,82.25
7106,2015-04-23,42.8,43.61,43.34,42.89
7105,1999-01-21,157.75,163.31,158.31,161.75
7104,1990-10-02,65.5,68.5,65.87,68.25
7103,1996-04-16,104.0,105.5,105.25,104.25
7102,2005-03-04,25.13,25.3,25.17,25.21
7101,2016-06-17,49.82,50.43,50.13,50.41
7100,2006-05-03,23.15,24.02,23.17,24.0
7099,2001-08-03,66.0,67.36,66.89,67.3
7098,2018-02-27,94.2,95.84,94.2,95.74
7097,2010-07-20,24.7,25.48,25.48,24.86
7096,2009-08-24,24.28,24.7326,24.64,24.41
7095,1997-02-25,98.87,101.02,99.5,100.0
7094,2001-06-21,68.92,70.55,69.84,69.15
7093,2010-08-02,25.75,26.38,26.33,25.99
7092,2008-01-23,31.04,32.05,31.93,31.48
7091,2017-12-12,85.08,86.05,85.58,85.31
7090,2004-12-06,27.07,27.44,27.33,27.1
7089,2018-01-23,91.54,92.3,91.9,91.9
7088,2003-08-29,26.35,26.55,26.52,26.46
7087,2012-09-18,31.03,31.21,31.175,31.1
7086,2004-07-01,28.26,28.84,28.63,28.69
7085,1999-01-07,148.25,150.63,150.5,149.75
7084,2005-04-11,24.86,25.11,24.97,25.03
7083,2001-08-22,59.08,61.15,60.66,61.13
7082,1997-04-25,113.25,115.37,113.62,113.5
7081,1990-02-06,92.25,94.25,94.0,94.0
7080,2014-08-06,42.21,43.17,42.74,42.74
7079,2012-03-26,32.155,32.61,32.59,32.19
7078,2008-09-15,26.73,27.49,26.82,26.92
7077,2010-08-30,23.6,23.82,23.64,23.74
7076,2005-08-25,26.85,27.09,27.03,26.9
7075,1998-09-22,106.75,109.87,109.19,108.44
7074,2006-11-28,29.13,29.42,29.39,29.34
7073,2007-04-27,30.0,30.74,30.12,30.17
7072,1992-11-23,87.25,91.75,88.5,90.25
7071,2015-10-09,46.92,47.54,47.11,47.45
7070,1993-01-14,90.5,94.0,91.25,92.25
7069,2011-05-06,25.75,26.22,25.87,26.07
7068,2010-11-19,25.6,25.83,25.69,25.8
7067,2000-06-01,63.81,66.0,64.56,64.37
7066,1998-05-04,87.94,89.87,88.06,89.19
7065,2002-11-21,56.78,58.0,57.84,56.98
7064,2008-11-17,19.15,20.24,19.32,19.74
7063,1994-03-29,82.5,86.5,82.5,86.5
7062,1993-05-21,92.0,94.25,92.5,93.5
7061,1994-02-10,79.0,80.75,79.37,79.75
7060,2005-11-10,26.6399,27.15,27.09,26.94
7059,1990-11-26,67.75,70.5,70.25,68.5
7058,2012-05-14,30.64,31.04,30.68,30.82
7057,1999-06-14,77.44,79.69,77.56,78.75
7056,2008-09-23,25.34,26.17,25.44,25.66
7055,1997-02-20,95.12,97.5,95.25,96.87
7054,1996-07-23,110.25,120.0,112.12,120.0
7053,1994-10-26,59.75,61.13,61.0,59.88
7052,1991-07-26,66.75,71.75,71.0,67.0
7051,2005-01-18,25.84,26.35,26.32,26.03
7050,2001-02-23,54.31,57.5,56.75,54.44
7049,2006-06-07,22.01,22.39,22.04,22.15
7048,2018-04-16,93.42,94.66,94.17,94.07
7047,1996-02-21,97.5,100.12,99.87,97.75
7046,2017-11-13,83.46,83.94,83.93,83.66
7045,1991-11-05,91.0,94.5,93.75,91.25
7044,2001-02-27,58.67,61.19,59.38,59.38
7043,2007-04-09,28.39,28.72,28.57,28.575
7042,1998-11-06,105.94,109.75,109.31,106.06
7041,2011-06-08,23.86,24.02,23.94,23.9
7040,2010-09-16,25.05,25.37,25.33,25.06
7039,2003-07-22,26.13,26.56,26.38,26.28
7038,1990-09-18,59.75,62.38,61.75,60.63
7037,1997-11-14,131.38,133.88,133.31,131.63
7036,1993-09-09,74.5,76.5,76.25,75.0
7035,2005-08-24,26.78,27.16,26.81,26.84
7034,2002-07-16,50.64,52.8,51.25,51.31
7033,2005-01-14,26.04,26.45,26.12,26.4
7032,2007-10-16,30.23,30.58,30.32,30.24
7031,1997-05-21,119.75,122.94,120.37,120.62
7030,1996-10-11,134.25,137.25,137.13,134.63
7029,2009-03-06,14.87,15.62,15.28,15.3599
7028,2014-02-12,37.3,37.6,37.47,37.35
7027,2010-08-31,23.32,23.73,23.465,23.6
7026,2001-12-06,67.55,69.0,68.65,67.98
7025,2014-12-26,47.82,48.41,47.88,48.41
7024,1999-03-31,89.12,94.62,89.62,94.5
7023,2015-01-02,46.54,47.42,46.76,46.66
7022,1998-07-01,107.19,110.12,109.37,109.12
7021,1992-03-16,120.5,124.25,124.25,121.0
7020,2017-02-24,64.135,64.8,64.62,64.53
7019,2001-08-06,65.68,67.12,66.13,66.53
7018,2003-11-18,25.12,25.84,25.15,25.33
7017,1993-09-24,78.5,80.75,80.0,78.5
7016,2017-03-02,63.88,64.75,64.01,64.69
7015,2001-08-27,61.57,63.36,62.31,61.9
7014,2001-01-03,43.13,48.88,47.94,43.19
7013,2014-04-23,39.47,39.99,39.69,39.99
7012,2009-01-27,17.43,17.97,17.66,17.79
7011,2003-05-30,24.51,24.91,24.61,24.73
7010,2014-02-13,37.33,37.86,37.61,37.33
7009,1993-03-31,90.75,94.25,92.5,91.25
7008,2006-07-17,22.26,22.61,22.48,22.29
7007,2012-09-20,30.91,31.48,31.45,30.95
7006,1999-03-10,159.19,162.5,161.38,162.31
7005,2006-07-11,22.74,23.37,23.1,23.37
7004,2013-04-22,30.28,31.18,30.8,30.29
7003,2005-03-24,24.1998,24.47,24.28,24.26
7002,2015-04-24,45.65,48.14,47.87,45.66
7001,2009-10-15,25.9,26.71,26.71,25.9
7000,1995-12-08,92.23,94.62,94.5,92.62
6999,2002-04-05,55.84,57.3,55.87,56.89
6998,1997-07-18,140.0,147.38,140.5,145.0
6997,1990-10-22,61.75,64.75,64.0,62.0
6996,2004-11-08,29.13,29.48,29.28,29.19
6995,2004-09-23,27.17,27.39,27.35,27.19
6994,2018-02-14,88.41,90.99,90.81,88.51
6993,2000-04-06,85.27,88.0,86.0,87.87
6992,1993-12-02,81.75,83.0,82.87,82.0
6991,2014-02-21,37.86,38.35,37.98,37.94
6990,2011-08-25,24.5,25.16,24.57,25.08
6989,1990-03-12,106.0,108.75,108.25,106.25
6988,1999-11-05,90.5,92.87,91.56,91.81
6987,2003-03-17,24.33,25.95,25.93,24.52
6986,2005-03-14,24.96,25.15,25.11,25.08
6985,2014-05-05,39.3,39.6399,39.43,39.52
6984,1992-10-16,83.75,85.5,85.37,84.75
6983,1992-04-13,114.25,118.12,117.5,116.75
6982,2017-06-02,70.24,71.86,71.76,70.44
6981,1990-08-27,59.0,61.25,60.75,59.0
6980,1991-12-05,100.75,102.25,101.75,101.75
6979,1999-07-29,86.31,88.81,86.94,88.69
6978,1993-04-07,89.25,90.5,90.25,90.0
6977,2014-08-14,44.01,44.417,44.27,44.08
6976,2014-08-15,44.4,44.895,44.79,44.58
6975,2011-12-27,25.93,26.14,26.04,25.96
6974,2015-03-11,41.84,42.37,41.98,42.31
6973,2007-01-11,29.6499,30.75,30.7,29.76
6972,2010-10-01,24.3,24.82,24.38,24.49
6971,2006-05-24,22.98,23.54,23.5,22.99
6970,2008-12-31,19.27,19.68,19.44,19.31
6969,1996-10-10,133.38,136.13,133.75,133.75
6968,2018-07-24,107.26,108.82,107.66,108.57
6967,1995-07-24,92.12,93.75,93.62,92.62
6966,2002-02-06,60.25,61.89,60.4,61.61
6965,1995-11-24,87.37,88.25,88.0,87.62
6964,2009-08-19,23.25,23.72,23.65,23.25
6963,2010-04-08,29.3,29.975,29.92,29.32
6962,1996-07-10,118.12,120.0,119.5,120.0
6961,1991-04-05,109.0,114.25,110.0,114.0
6960,2016-11-21,60.42,60.97,60.86,60.5
6959,2015-07-08,44.03,44.9,44.24,44.44
6958,2017-07-24,73.13,73.75,73.6,73.53
6957,2016-03-15,52.74,53.59,53.59,52.75
6956,2016-04-22,50.77,52.4297,51.78,51.91
6955,2000-03-06,90.12,97.37,90.62,96.0
6954,2009-09-10,24.65,25.05,25.0,24.8
6953,2011-10-12,26.9,27.31,26.96,27.18
6952,2005-06-03,25.34,25.8102,25.43,25.7
6951,1992-02-20,115.75,119.25,117.5,116.0
6950,1994-04-25,91.5,94.25,93.75,92.0
6949,1998-06-25,101.37,106.87,101.56,105.87
6948,2005-08-08,27.08,27.84,27.13,27.8
6947,1995-07-11,96.5,99.12,96.5,99.0
6946,1996-09-20,135.88,138.63,138.13,137.0
6945,1999-05-25,76.12,79.25,76.25,76.75
6944,1997-07-24,135.63,140.38,138.0,138.38
6943,1995-12-18,85.37,89.0,87.0,88.37
6942,2000-01-13,101.5,108.62,107.81,104.37
6941,2008-01-22,31.5,32.53,31.99,31.54
6940,2012-07-27,29.18,29.85,29.755,29.48
6939,2008-10-31,22.12,22.91,22.33,22.53
6938,2003-02-13,46.13,47.12,46.99,46.41
6937,2009-06-26,23.32,23.69,23.35,23.57
6936,1993-06-08,90.75,93.25,92.25,93.0
6935,1999-09-27,90.87,92.94,91.44,92.0
6934,2013-06-18,34.895,35.17,34.98,34.97
6933,2000-05-01,71.69,74.0,73.44,72.87
6932,2008-10-06,24.14,25.99,24.91,25.63
6931,1994-02-16,78.75,80.25,78.75,80.25
6930,2018-05-17,95.83,97.5401,96.18,96.76
6929,2011-01-12,28.07,28.59,28.55,28.12
6928,1990-11-30,70.5,74.25,72.25,71.25
6927,2001-10-15,55.85,58.5,58.06,55.9
6926,1996-10-22,131.25,133.38,132.5,133.13
6925,2005-03-23,23.96,24.39,24.18,23.99
6924,1991-11-18,95.0,97.75,97.25,95.25
6923,1995-10-17,86.75,91.5,91.12,87.25
6922,1999-03-22,172.0,174.94,172.81,172.94
6921,2003-06-20,26.01,26.38,26.33,26.34
6920,2013-01-17,27.06,27.47,27.25,27.19
6919,2007-10-31,35.51,37.0,36.81,35.52
6918,2012-11-26,27.17,27.58,27.385,27.54
6917,2015-12-30,56.2875,56.78,56.31,56.47
6916,2007-11-15,33.55,34.1,33.76,33.76
6915,1993-02-22,76.75,81.0,76.75,79.75
6914,1998-05-21,85.5,87.37,86.37,85.81
6913,2015-03-27,40.83,41.43,40.97,41.12
6912,2017-03-03,63.62,64.28,64.25,63.99
6911,2016-12-13,62.24,63.42,62.98,62.5
6910,2009-03-26,18.12,18.88,18.83,18.17
6909,2018-01-22,89.74,91.62,91.61,90.0
6908,1998-01-20,134.0,138.0,137.81,134.13
6907,2016-10-13,56.315,57.3,56.92,56.7
6906,1991-03-07,103.5,107.5,104.0,104.25
6905,2000-07-25,68.37,71.0,69.0,70.81
6904,2017-05-12,68.04,68.61,68.38,68.61
6903,2009-08-17,23.23,23.6,23.25,23.32
6902,2011-06-07,23.9,24.17,24.06,24.09
6901,1996-02-06,95.62,97.5,96.5,96.5
6900,1994-10-18,55.06,56.75,56.63,55.25
6899,2013-12-17,36.3344,37.11,36.52,36.94
6898,1991-09-05,80.0,83.0,80.5,83.0
6897,2011-10-28,26.79,27.19,26.98,27.14
6896,2010-05-04,29.75,30.55,30.13,30.52
6895,2015-10-13,46.56,47.1299,46.89,46.56
6894,2013-01-24,27.47,28.07,27.63,27.7
6893,2009-12-21,30.37,30.84,30.52,30.4
6892,2010-05-28,25.66,26.12,25.8,25.84
6891,1998-09-25,108.62,113.12,113.06,109.12
6890,2002-03-18,61.2,62.99,62.14,62.74
6889,2015-04-13,41.39,42.06,41.76,41.4
6888,1999-09-07,93.75,96.69,94.25,94.87
6887,2017-08-24,72.07,72.86,72.69,72.74
6886,2008-02-01,30.25,33.25,30.4498,31.06
6885,2008-08-27,27.13,27.79,27.56,27.34
6884,2016-01-26,51.55,52.44,52.17,51.79
6883,2010-03-30,29.5,29.86,29.77,29.63
6882,1999-06-01,78.44,80.75,78.5,80.62
6881,1996-04-30,111.87,113.25,113.25,112.62
6880,1992-05-07,114.25,116.5,115.0,116.0
6879,2017-03-21,64.13,65.5,64.21,65.19
6878,2014-05-27,39.81,40.26,40.19,40.26
6877,1992-03-13,120.5,123.0,121.0,122.5
6876,2011-06-02,24.18,24.65,24.22,24.49
6875,1995-08-01,87.87,90.89,89.5,90.75
6874,1997-01-20,86.62,92.87,90.75,87.0
6873,2016-06-22,50.9525,51.46,50.99,51.08
6872,1999-12-17,113.62,117.12,115.25,116.62
6871,2014-04-30,40.1699,40.5,40.4,40.4
6870,1996-09-24,136.13,138.38,136.88,137.5
6869,2013-07-25,31.25,31.65,31.39,31.62
6868,2004-08-20,27.04,27.37,27.2,27.12
6867,1996-03-13,97.75,101.0,100.87,98.23
6866,1991-05-15,96.62,100.5,98.0,100.25
6865,1997-04-16,96.25,98.5,98.25,96.62
6864,1992-10-07,81.0,84.25,81.12,82.5
6863,1998-07-28,112.0,116.87,112.25,116.0
6862,2011-03-01,26.15,26.78,26.16,26.6
6861,1992-11-17,89.25,94.0,90.0,92.87
6860,2013-01-02,27.1499,27.73,27.62,27.25
6859,2004-01-09,27.59,28.061,27.66,28.03
6858,2001-06-06,71.55,73.48,72.36,72.89
6857,1992-02-14,118.0,122.5,118.5,122.25
6856,2014-08-27,44.76,45.0,44.87,44.9
6855,1990-02-28,98.0,99.75,98.75,98.0
6854,2004-06-04,25.94,26.24,25.95,26.04
6853,2002-03-12,61.67,62.8,62.54,62.52
6852,2012-03-07,31.53,31.92,31.84,31.67
6851,2003-05-14,25.54,26.18,25.62,26.08
6850,1994-11-23,61.06,62.06,61.5,61.63
6849,2009-01-14,19.01,19.68,19.09,19.53
6848,1998-03-26,87.5,89.56,88.25,88.5
6847,2015-10-15,46.53,47.03,47.01,47.01
6846,1995-01-16,63.0,64.5,64.12,63.25
6845,2004-12-09,26.94,27.36,27.23,27.12
6844,1993-11-11,81.0,82.5,81.62,81.25
6843,1990-03-19,113.0,117.0,116.5,113.75
6842,2000-12-20,41.38,44.0,41.5,42.81
6841,2013-01-18,27.04,27.29,27.25,27.1
6840,2010-12-15,27.53,27.99,27.85,27.53
6839,2006-08-09,24.34,24.64,24.44,24.49
6838,2007-05-14,30.81,30.99,30.97,30.84
6837,1995-05-10,78.87,80.37,79.25,80.12
6836,2016-08-09,58.02,58.5,58.2,58.17
6835,1998-01-23,136.7,139.44,138.25,138.75
6834,2014-03-20,39.24,40.649,40.33,39.25
6833,2014-07-25,44.3,44.66,44.5,44.3
6832,1992-04-14,116.5,120.25,117.0,118.25
6831,2015-11-12,53.19,53.9791,53.32,53.48
6830,2004-08-11,27.2,27.51,27.41,27.38
6829,2010-01-22,28.84,30.2,28.96,30.0
6828,1994-04-04,82.0,85.75,84.5,82.5
6827,2016-11-23,60.25,61.1,60.4,61.01
6826,1996-09-11,123.62,125.5,125.12,123.94
6825,2011-05-17,24.27,24.7,24.52,24.395
6824,1995-07-17,106.5,109.25,109.0,107.75
6823,2010-09-09,23.99,24.21,24.01,24.19
6822,2011-10-06,25.7,26.4,26.34,25.9
6821,1993-10-12,82.25,85.25,84.25,84.25
6820,1996-05-01,112.62,115.25,115.12,112.87
6819,2009-06-23,23.21,23.66,23.34,23.38
6818,2008-04-01,28.63,29.54,29.4999,28.83
6817,2010-03-03,28.35,28.61,28.46,28.51
6816,2013-06-20,33.37,34.33,33.49,34.26
6815,1993-11-23,77.25,78.5,77.37,77.75
6814,1998-07-27,110.69,116.75,116.75,113.12
6813,2012-07-23,29.01,29.58,29.28,29.57
6812,2005-02-18,25.4,25.65,25.48,25.64
6811,1997-03-04,98.62,100.12,99.12,99.25
6810,1996-06-24,123.0,125.12,124.12,124.0
6809,1997-07-11,128.44,131.06,129.75,130.25
6808,2005-08-31,27.04,27.44,27.38,27.18
6807,1996-04-23,111.37,113.25,112.62,112.75
6806,1997-01-10,81.62,84.37,84.25,82.0
6805,2014-09-15,46.1,46.71,46.24,46.54
6804,1991-06-10,109.75,111.0,110.5,110.25
6803,1998-08-03,107.37,110.87,108.44,109.12
6802,1994-04-26,94.0,95.25,94.94,94.5
6801,2002-11-12,53.9,55.43,54.51,54.1
6800,2005-04-26,24.74,25.25,24.76,24.95
6799,1990-10-15,55.5,58.0,56.5,57.75
6798,1992-11-11,92.25,95.0,93.75,92.75
6797,1990-10-04,64.0,65.75,64.12,65.25
6796,2009-03-27,18.05,18.615,18.13,18.5427
6795,1998-11-25,120.75,124.37,124.25,122.69
6794,2008-08-06,26.38,27.16,27.02,26.73
6793,2000-04-05,85.87,88.5,86.37,88.25
6792,2002-04-08,54.26,57.31,57.22,54.3
6791,2010-10-12,24.43,24.93,24.83,24.65
6790,2016-11-28,60.21,61.02,60.61,60.34
6789,2005-04-21,24.47,25.39,25.24,24.48
6788,2013-11-12,37.2,37.595,37.36,37.38
6787,2007-04-02,27.56,27.93,27.74,27.89
