,Date,Low,High,Close,Open
4072,2008-12-15,27.5,28.84,28.49,27.5
4071,2005-03-21,9.16,9.5,9.31,9.25
4070,2012-03-01,108.52,113.67,112.75,109.1
4069,2008-04-30,31.19,32.42,31.98,31.85
4068,2013-10-02,321.62,333.6,330.73,322.09
4067,2013-12-04,356.25,368.65,356.27,360.59
4066,2008-06-13,31.33,32.27,32.22,31.36
4065,2009-05-26,38.5,40.41,40.09,38.6
4064,2016-10-27,125.93,128.18,126.47,127.43
4063,2005-04-20,11.15,11.65,11.45,11.6
4062,2010-01-13,52.91,54.28,53.96,53.29
4061,2008-08-25,29.87,30.63,29.94,30.44
4060,2013-11-12,331.35,339.5,333.73,336.18
4059,2002-06-18,11.79,13.15,12.75,13.14
4058,2014-12-23,332.31,338.9952,336.43,338.01
4057,2018-03-15,318.14,323.4,321.09,323.17
4056,2005-06-13,16.2,17.35,16.66,16.7
4055,2018-02-23,277.81,286.0,285.93,281.0
4054,2009-04-01,42.12,43.98,42.87,42.78
4053,2016-03-29,101.0,104.33,104.13,101.08
4052,2009-01-07,32.0,33.14,32.71,33.01
4051,2003-07-22,23.48,24.99,24.7,23.53
4050,2015-07-28,103.88,107.94,106.9,107.29
4049,2007-11-23,21.26,21.9,21.75,21.73
4048,2014-12-19,333.35,341.04,340.12,335.3
4047,2005-07-21,16.55,17.01,16.65,16.89
4046,2010-12-15,175.56,181.42,178.5,178.26
4045,2013-02-26,175.6,185.22,184.09,180.6
4044,2005-05-13,13.61,14.6,14.28,13.69
4043,2003-05-09,22.3,23.1,22.62,22.9
4042,2003-07-28,26.51,27.47,26.62,26.55
4041,2011-02-23,205.39,217.9,211.2,215.55
4040,2003-12-08,45.59,48.47,47.21,47.25
4039,2005-01-06,11.01,11.37,11.05,11.2
4038,2016-10-25,125.75,128.06,126.51,126.52
4037,2010-04-15,85.5,87.87,86.83,87.25
4036,2005-01-11,11.01,11.44,11.01,11.4
4035,2014-12-12,328.86,338.26,334.48,331.92
4034,2009-01-06,32.13,33.25,32.94,32.14
4033,2016-12-12,122.3,124.03,122.83,122.84
4032,2015-10-07,106.75,109.78,108.1,108.84
4031,2004-09-02,13.88,15.1,14.85,14.1
4030,2005-09-19,23.0,24.37,23.27,24.35
4029,2016-01-25,99.0,102.68,99.12,99.78
4028,2016-04-26,91.25,93.55,92.43,93.5
4027,2013-09-18,298.12,307.68,306.92,298.96
4026,2016-01-12,115.08,117.78,116.58,116.11
4025,2003-03-10,15.71,16.3,15.73,15.98
4024,2004-09-08,14.87,15.64,15.07,15.55
4023,2018-01-19,218.5,223.49,220.46,222.75
4022,2006-11-16,29.13,29.75,29.27,29.7
